window,start_year,end_year,country,series,survey,education,education_label,common_quarters,share_0,share_1,income_0_usd_2017_ppp,income_1_usd_2017_ppp,education_component_usd_2017_ppp,within_income_component_usd_2017_ppp
2019-2023,2019,2023,Bolivia,1,ECE,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.061960068942549906,0.07610231324036336,1656.945144760073,1536.1311955777321,22.578632833312685,-8.3399308125197
2019-2023,2019,2023,Brazil,2,PNADC,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.3865659002514668,0.3336127233055157,520.9871649326435,539.9152468386666,-28.089076566456225,6.815799986826759
2019-2023,2019,2023,Brazil,2,PNADC,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.42331360371305315,0.45127454077587864,753.1375354323111,746.6643493429139,20.967933053453553,-2.830685905428751
2019-2023,2019,2023,Brazil,2,PNADC,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.19012049603548004,0.21511273591860564,2086.0180559736573,1913.4898079227785,49.97832997447349,-34.9570897805169
2019-2023,2019,2023,Costa Rica,1,ECE,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.5316313449501647,0.48060177594820275,799.0819069973743,787.6137760718492,-40.48419842214807,-5.804210978807672
2019-2023,2019,2023,Costa Rica,1,ECE,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.31400055312396447,0.3552630179455547,1228.4176681106585,1163.6469737622,49.35124156812434,-21.674333100150793
2019-2023,2019,2023,Costa Rica,1,ECE,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.1543681019258708,0.16413520610624258,2875.2711796646577,2395.912555244737,25.74210034637062,-76.33865380573404
2019-2023,2019,2023,Dominican Republic,1,ECFNT,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.5195518727819947,0.4865619658432127,636.1948515629364,629.9822596386877,-20.885532533278674,-3.125287354358925
2019-2023,2019,2023,Dominican Republic,1,ECFNT,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.33993421527034984,0.3659468797247176,751.5754255290436,758.1917133900345,19.636532994466428,2.3351562600593927
2019-2023,2019,2023,Dominican Republic,1,ECFNT,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.1405139119476555,0.14749115443206967,1872.7009736344717,1488.1408710016467,11.724704250896007,-55.37762894288034
2019-2023,2019,2023,El Salvador,1,EHPM,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.6784839813908022,0.6757294194365995,559.705407492545,596.1288064723235,-1.59190847557674,24.662527501049603
2019-2023,2019,2023,El Salvador,1,EHPM,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.24782503633754063,0.23780781623464067,869.5189260590264,869.6454876436445,-8.710796363595309,0.030731231682075658
2019-2023,2019,2023,El Salvador,1,EHPM,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.07369098227165709,0.08646276432875981,1539.1060379314995,1335.0278603217273,18.35390587571063,-16.341942371795163
2019-2023,2019,2023,Mexico,1,ENOE,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.5876505342457743,0.5377291864799543,500.9196924588941,545.1360443260693,-26.110256109236623,24.88009285789609
2019-2023,2019,2023,Mexico,1,ENOE,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.23530061470912336,0.2554205844973588,629.5979851798968,663.4621108925007,13.008165033674743,8.308922189884035
2019-2023,2019,2023,Mexico,1,ENOE,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.1770488510451024,0.2068502290226869,1098.496760133932,1107.6340533160526,32.87286911980948,1.7538992234628963
2019-2023,2019,2023,Peru (Lima and Callao),1,EPE,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.16402773900848516,0.16024706190092075,558.2877264727857,499.69008067469,-1.9999362378968288,-9.500869962468684
2019-2023,2019,2023,Peru (Lima and Callao),1,EPE,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.5165377827606298,0.5058392847897282,694.5339137230468,642.9804826886362,-7.154697528031042,-26.353522821560134
2019-2023,2019,2023,Peru (Lima and Callao),1,EPE,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.31943447823088505,0.3339136533093511,1411.868155285569,1253.6433193166624,19.297203657212922,-51.68795047177271
2019-2023,2019,2023,Argentina,1,EPHC-S2,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.330176864216059,0.30330202792756383,725.6688664272968,647.2536615116068,-18.448534087572497,-24.83718856860326
2019-2023,2019,2023,Argentina,1,EPHC-S2,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.42435269751611987,0.45168111326609117,1030.0895151877162,892.1086927396465,26.265315890044374,-60.43793285202308
2019-2023,2019,2023,Argentina,1,EPHC-S2,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.2454704382678211,0.245016858806345,1747.991901436834,1503.2320217240263,-0.7373441981027854,-60.025805916266556
2019-2023,2019,2023,Chile,2,NENE,Educational attainment - low,Low,Q4,0.2827167325692537,0.19847251443745523,649.3,673.7,-55.72755029418471,5.870508813481871
2019-2023,2019,2023,Chile,2,NENE,Educational attainment - middle,Middle,Q4,0.5423200059164185,0.55309769211844,1046.1,1019.0,11.128499887897261,-14.842909808372282
2019-2023,2019,2023,Chile,2,NENE,Educational attainment - high,High,Q4,0.17496326151432784,0.24842979344410487,2553.3,2336.6,179.62199724170836,-45.87463750474624
